109,"Marion (Indiana Wesleyan University)[2]
"
110,"Muncie (Ball State University)[2]
"
111,"Oakland City (Oakland City University)[2]
"
112,"Richmond (Earlham College)[2]
"
113,"South Bend (Notre Dame University[2])
"
114,"Terre Haute (Indiana State University, Rose-Hulman Institute of Technology)[2]
"
115,"Upland (Taylor University)[2]
"
116,"Valparaiso (Valparaiso University)
"
117,"West Lafayette (Purdue University)[2]
"
118,"Ames (Iowa State University)[2]
"
119,"Cedar Falls (University of Northern Iowa)[2]
"
120,"Cedar Rapids, Iowa (Coe College )
"
121,"Decorah (Luther College)[5]
"
122,"Fayette (Upper Iowa University)[2]
"
123,"Grinnell (Grinnell College)[15]
"
124,"Iowa City (University of Iowa)[15]
"
125,"Lamoni (Graceland University)[2]
"
126,"Mount Vernon, (Cornell College)
"
127,"Orange City (Northwestern College)[2]
"
128,"Sioux Center (Dordt College)[2]
"
129,"Storm Lake (Buena Vista University)[2]
"
130,"Waverly (Wartburg College)[2]
"
131,"Baldwin City (Baker University)[5]
"
132,"Emporia (Emporia State University)[2]
"
133,"Hays (Fort Hays State University)[2]
"
134,"Lawrence (University of Kansas, Haskell Indian Nations University)[15]
"
135,"Manhattan (Kansas State University, Manhattan Christian College)[15]
"
136,"Pittsburg (Pittsburg State University)[2]
"
137,"Bowling Green (Western Kentucky University)[2]
"
138,"Columbia (Lindsey Wilson College)[2]
"
139,"Georgetown (Georgetown College)
"
140,"Highland Heights (Northern Kentucky University)
"
141,"Lexington (University of Kentucky, Transylvania University[5]
"
142,"Louisville (University of Louisville)
"
143,"Morehead (Morehead State University)[2]
"
144,"Murray (Murray State University)[5]
"
145,"Richmond (Eastern Kentucky University)[2]
"
146,"Williamsburg (University of the Cumberlands)[2]
"
147,"Wilmore (Asbury University, Asbury Theological Seminary)[2]
"
148,"Baton Rouge (Louisiana State University, Southern University)
"
149,"Grambling (Grambling State University)[5]
"
150,"Hammond (Southeastern Louisiana University)[2]
"
151,"Lafayette (University of Louisiana at Lafayette)
"
152,"Monroe (University of Louisiana at Monroe)[2]
"
153,"Natchitoches (Northwestern State University)[2]
"
154,"Ruston (Louisiana Tech University)[2]
"
155,"Thibodaux (Nicholls State University)[2]
"
156,"Augusta (University of Maine at Augusta)[2]
"
157,"Bar Harbor (College of the Atlantic)
"
158,"Brunswick (Bowdoin College)
"
159,"Farmington (University of Maine at Farmington)[2]
"
160,"Fort Kent (University of Maine at Fort Kent)
"
161,"Gorham (University of Southern Maine)[2]
"
162,"Lewiston, Maine (Bates College)
"
163,"Orono (University of Maine)[2]
"
164,"Waterville (Thomas College, Colby College)
"
165,"Annapolis (United States Naval Academy, St. John's College)
"
166,"Chestertown (Washington College)[2]
"
167,"College Park (University of Maryland, College Park)[16]
"
168,"Cumberland (Allegany College of Maryland)
"
169,"Emmitsburg (Mount St. Mary's University)[2]
"
170,"Frostburg (Frostburg State University)[5]
"
171,"Princess Anne (University of Maryland Eastern Shore)[5]
"
172,"Towson (Towson University, Goucher College)[2]
"
173,"Salisbury (Salisbury University)[2]
"
174,"Westminster (McDaniel College)
"
175,"Boston (Boston University, Boston College, Boston Conservatory, New England Conservatory, Brandeis University, Northeastern University, UMass Boston, Emmanuel College, Bunker Hill Community College, Roxbury Community College, Suffolk University, Simmons College, among many others)
"
176,"Bridgewater (Bridgewater State College)[2]
"
177,"Cambridge (Harvard University, Massachusetts Institute of Technology)(Lesley University, Cambridge College, Longy School of Music)[15]
"
178,"Chestnut Hill (Boston College)
"
179,"The Colleges of Worcester Consortium:
"
180,"Dudley (Nichols College)
"
181,"North Grafton (Cummings School of Veterinary Medicine at Tufts University)
"
182,"Paxton (Anna Maria College)
"
183,"Worcester (Assumption, Becker, Clark University, Holy Cross, Mass. College of Pharmacy & Health Sciences, Quinsigamond Community College, UMass Medical School, Worcester State University, Worcester Polytechnic Institute)
"
184,"The Five College Region of Western Massachusetts:
"
185,"Amherst (Amherst College, Hampshire College, University of Massachusetts Amherst)[15]
"
186,"Northampton (Smith College)
"
187,"South Hadley (Mount Holyoke College)
"
188,"Fitchburg (Fitchburg State College)
"
189,"North Adams (Massachusetts College of Liberal Arts)
"
190,"Springfield (American International College), (Springfield College), and (Western New England College)
"
191,"Waltham (Bentley University), (Brandeis University)
"
192,"Williamstown (Williams College)
"
193,"Framingham (Framingham State University)
"
194,"Adrian (Adrian College, Siena Heights University)
"
195,"Albion (Albion College)[17]
"
196,"Allendale (Grand Valley State University)
"
197,"Alma (Alma College)
"
198,"Ann Arbor (University of Michigan)[1]
"
199,"Berrien Springs (Andrews University)[2]
"
200,"Big Rapids (Ferris State University)[2]
"
201,"East Lansing (Michigan State University)[2]
"
202,"Flint (Kettering University, University of Michigan-Flint)
"
203,"Hillsdale (Hillsdale College)
"
